delinquency_score,recent_delinquency,payment_ratio,avg_payment,current_utilisation,max_utilisation,LIMIT_BAL,actual_default,predicted_default,predicted_pd,risk_segment,cli_decision,limit_change_pct,recommended_limit,upper_guardrail,lower_guardrail,guardrail_limit,final_recommended_limit,reason_codes
0,0,0.3053509532062392,2349.1666666666665,0.17572857142857143,0.17572857142857143,140000.0,0,0,0.18154107,Medium Risk,Maintain,0.0,140000.0,175000.0,112000.0,140000.0,140000.0,"['delinquency_score', 'recent_delinquency', 'current_utilisation']"
0,0,0.3187556220373758,5256.333333333333,0.01135,1.01755,20000.0,0,0,0.28318864,Medium Risk,Maintain,0.0,20000.0,25000.0,16000.0,20000.0,20000.0,"['delinquency_score', 'avg_payment', 'recent_delinquency']"
18,3,0.04191499929047821,787.6666666666666,0.9309,1.0659,20000.0,1,1,0.99813604,High Risk,Decrease,-0.2,16000.0,25000.0,16000.0,16000.0,16000.0,"['delinquency_score', 'recent_delinquency', 'LIMIT_BAL']"
1,1,1.0,0.0,0.0,0.0,80000.0,1,1,0.59729594,High Risk,Decrease,-0.2,64000.0,100000.0,64000.0,64000.0,64000.0,"['avg_payment', 'delinquency_score', 'recent_delinquency']"
3,1,0.03047914994154475,1664.1666666666667,0.27241818181818184,0.27241818181818184,220000.0,0,0,0.4717394,High Risk,Decrease,-0.2,176000.0,275000.0,176000.0,176000.0,176000.0,"['recent_delinquency', 'current_utilisation', 'LIMIT_BAL']"
0,0,1.0,2016.0,0.0,0.0,220000.0,0,0,0.32170632,High Risk,Decrease,-0.2,176000.0,275000.0,176000.0,176000.0,176000.0,"['delinquency_score', 'recent_delinquency', 'max_utilisation']"
0,0,0.9182376320306822,9896.0,0.02212,0.054486,500000.0,0,0,0.16832435,Medium Risk,Maintain,0.0,500000.0,625000.0,400000.0,500000.0,500000.0,"['delinquency_score', 'avg_payment', 'recent_delinquency']"
6,2,0.03517197497034363,18333.333333333332,1.0379,1.078836,500000.0,1,1,0.91962844,High Risk,Decrease,-0.2,400000.0,625000.0,400000.0,400000.0,400000.0,"['recent_delinquency', 'delinquency_score', 'max_utilisation']"
0,0,0.04157104777002883,4335.5,0.9892416666666667,1.0048333333333332,120000.0,1,0,0.2940408,Medium Risk,Maintain,0.0,120000.0,150000.0,96000.0,120000.0,120000.0,"['delinquency_score', 'recent_delinquency', 'max_utilisation']"
2,0,0.07287016197468915,1316.6666666666667,0.5729,0.8015,30000.0,0,1,0.5589554,High Risk,Decrease,-0.2,24000.0,37500.0,24000.0,24000.0,24000.0,"['recent_delinquency', 'delinquency_score', 'LIMIT_BAL']"
0,0,0.04242295101020863,1825.0,0.9482166666666667,0.9695,60000.0,0,0,0.4188416,High Risk,Decrease,-0.2,48000.0,75000.0,48000.0,48000.0,48000.0,"['delinquency_score', 'recent_delinquency', 'LIMIT_BAL']"
4,0,0.5447998046875001,743.8333333333334,0.012513333333333333,0.015093333333333334,150000.0,0,1,0.60284007,High Risk,Decrease,-0.2,120000.0,187500.0,120000.0,120000.0,120000.0,"['delinquency_score', 'recent_delinquency', 'current_utilisation']"
2,0,0.9839615668883962,2218.8333333333335,0.006,0.08492307692307692,130000.0,0,0,0.49227804,High Risk,Decrease,-0.2,104000.0,162500.0,104000.0,104000.0,104000.0,"['recent_delinquency', 'current_utilisation', 'delinquency_score']"
0,0,0.028799405278156363,968.5,0.86536,0.86536,50000.0,0,0,0.30738747,High Risk,Decrease,-0.2,40000.0,62500.0,40000.0,40000.0,40000.0,"['delinquency_score', 'recent_delinquency', 'LIMIT_BAL']"
2,2,0.020412238606650982,545.1666666666666,1.0214,1.0214,80000.0,1,1,0.8060521,High Risk,Decrease,-0.2,64000.0,100000.0,64000.0,64000.0,64000.0,"['recent_delinquency', 'delinquency_score', 'payment_ratio']"
0,0,0.0724892265623648,1396.1666666666667,0.57576,0.57576,50000.0,0,0,0.2860311,Medium Risk,Maintain,0.0,50000.0,62500.0,40000.0,50000.0,50000.0,"['delinquency_score', 'recent_delinquency', 'LIMIT_BAL']"
2,0,0.07088587374327332,1183.3333333333333,0.20457142857142857,0.26817142857142856,70000.0,0,1,0.5338423,High Risk,Decrease,-0.2,56000.0,87500.0,56000.0,56000.0,56000.0,"['recent_delinquency', 'delinquency_score', 'avg_payment']"
0,0,0.04261844331641286,2149.3333333333335,0.68855,0.68855,80000.0,0,0,0.23677145,Medium Risk,Maintain,0.0,80000.0,100000.0,64000.0,80000.0,80000.0,"['delinquency_score', 'recent_delinquency', 'current_utilisation']"
8,0,0.07588711421773432,2222.0,0.9923333333333333,1.011,30000.0,0,1,0.7585893,High Risk,Decrease,-0.2,24000.0,37500.0,24000.0,24000.0,24000.0,"['delinquency_score', 'recent_delinquency', 'max_utilisation']"
0,0,0.03536473412894569,6677.333333333333,0.992975,0.992975,200000.0,0,0,0.37249148,High Risk,Decrease,-0.2,160000.0,250000.0,160000.0,160000.0,160000.0,"['delinquency_score', 'recent_delinquency', 'max_utilisation']"
0,0,0.21080956264920692,9433.833333333334,1.13344,1.13344,50000.0,0,0,0.45774972,High Risk,Decrease,-0.2,40000.0,62500.0,40000.0,40000.0,40000.0,"['delinquency_score', 'max_utilisation', 'recent_delinquency']"
0,0,1.0,269.3333333333333,0.0,0.01,150000.0,0,0,0.39617026,High Risk,Decrease,-0.2,120000.0,187500.0,120000.0,120000.0,120000.0,"['delinquency_score', 'avg_payment', 'recent_delinquency']"
0,0,0.5,195.0,0.0022941176470588237,0.004588235294117647,170000.0,0,0,0.344052,High Risk,Decrease,-0.2,136000.0,212500.0,136000.0,136000.0,136000.0,"['delinquency_score', 'avg_payment', 'recent_delinquency']"
0,0,1.3401491460187636,2785.5,0.0024944444444444445,0.03214722222222222,360000.0,0,0,0.27889326,Medium Risk,Maintain,0.0,360000.0,450000.0,288000.0,360000.0,360000.0,"['delinquency_score', 'LIMIT_BAL', 'current_utilisation']"
0,0,1.1288673661555018,699.3333333333334,0.013,0.047933333333333335,30000.0,0,0,0.43870893,High Risk,Decrease,-0.2,24000.0,37500.0,24000.0,24000.0,24000.0,"['delinquency_score', 'current_utilisation', 'recent_delinquency']"
4,0,0.5,217.33333333333334,0.005433333333333333,0.005433333333333333,120000.0,0,1,0.63480175,High Risk,Decrease,-0.2,96000.0,150000.0,96000.0,96000.0,96000.0,"['delinquency_score', 'recent_delinquency', 'avg_payment']"
0,0,0.5500109977679939,25422.333333333332,0.8674142857142857,1.1322285714285714,70000.0,0,0,0.27458167,Medium Risk,Maintain,0.0,70000.0,87500.0,56000.0,70000.0,70000.0,"['delinquency_score', 'avg_payment', 'recent_delinquency']"
0,0,0.08838734980568332,826.3333333333334,0.24146666666666666,0.35636666666666666,30000.0,0,0,0.32777795,High Risk,Decrease,-0.2,24000.0,37500.0,24000.0,24000.0,24000.0,"['delinquency_score', 'LIMIT_BAL', 'recent_delinquency']"
2,0,0.7017994858611825,455.0,0.00176,0.009426666666666667,150000.0,1,1,0.59059876,High Risk,Decrease,-0.2,120000.0,187500.0,120000.0,120000.0,120000.0,"['avg_payment', 'current_utilisation', 'delinquency_score']"
0,0,0.5323468290186822,8496.166666666666,0.006092307692307692,0.36394615384615386,130000.0,0,0,0.2835348,Medium Risk,Maintain,0.0,130000.0,162500.0,104000.0,130000.0,130000.0,"['delinquency_score', 'current_utilisation', 'recent_delinquency']"
0,0,1.5137672090112642,403.1666666666667,0.0007666666666666667,0.0029966666666666666,300000.0,0,0,0.3829869,High Risk,Decrease,-0.2,240000.0,375000.0,240000.0,240000.0,240000.0,"['delinquency_score', 'avg_payment', 'recent_delinquency']"
0,0,0.051302879374104875,4000.0,0.27640384615384617,0.3232307692307692,260000.0,0,0,0.11268527,Medium Risk,Maintain,0.0,260000.0,325000.0,208000.0,260000.0,260000.0,"['delinquency_score', 'recent_delinquency', 'LIMIT_BAL']"
12,2,0.05446832502852824,6054.0,0.6683133333333333,0.77792,150000.0,1,1,0.998877,High Risk,Decrease,-0.2,120000.0,187500.0,120000.0,120000.0,120000.0,"['delinquency_score', 'recent_delinquency', 'LIMIT_BAL']"
2,0,0.04692536675218736,3804.3333333333335,0.7124333333333334,0.7124333333333334,120000.0,1,0,0.3830952,High Risk,Decrease,-0.2,96000.0,150000.0,96000.0,96000.0,96000.0,"['recent_delinquency', 'delinquency_score', 'payment_ratio']"
0,0,0.0524182275649986,2500.0,0.6714538461538462,0.6714538461538462,130000.0,0,0,0.19701852,Medium Risk,Maintain,0.0,130000.0,162500.0,104000.0,130000.0,130000.0,"['delinquency_score', 'recent_delinquency', 'current_utilisation']"
0,0,1.2291870556983535,38097.833333333336,0.167056,0.18543,500000.0,0,0,0.056802318,Low Risk,Increase,0.2,600000.0,625000.0,400000.0,600000.0,600000.0,"['current_utilisation', 'delinquency_score', 'LIMIT_BAL']"
0,0,0.5416276894293732,579.0,0.02455,0.02455,120000.0,1,0,0.42190313,High Risk,Decrease,-0.2,96000.0,150000.0,96000.0,96000.0,96000.0,"['delinquency_score', 'avg_payment', 'recent_delinquency']"
0,0,0.9346718617009326,62411.0,0.069234375,0.725053125,320000.0,0,0,0.09375003,Low Risk,Increase,0.2,384000.0,400000.0,256000.0,384000.0,384000.0,"['avg_payment', 'delinquency_score', 'recent_delinquency']"
4,2,0.037394059191465163,920.6666666666666,1.0404666666666667,1.0404666666666667,30000.0,1,1,0.81159854,High Risk,Decrease,-0.2,24000.0,37500.0,24000.0,24000.0,24000.0,"['recent_delinquency', 'delinquency_score', 'LIMIT_BAL']"
0,0,0.8060075093867334,1610.0,0.01012608695652174,0.010991304347826088,230000.0,0,0,0.336105,High Risk,Decrease,-0.2,184000.0,287500.0,184000.0,184000.0,184000.0,"['delinquency_score', 'recent_delinquency', 'current_utilisation']"
9,2,0.06829216240729873,1066.6666666666667,0.7481,0.90495,20000.0,1,1,0.99615866,High Risk,Decrease,-0.2,16000.0,25000.0,16000.0,16000.0,16000.0,"['delinquency_score', 'recent_delinquency', 'LIMIT_BAL']"
0,0,0.021096962629475455,1947.8333333333333,3.2573,3.38434,50000.0,0,0,0.46582797,High Risk,Decrease,-0.2,40000.0,62500.0,40000.0,40000.0,40000.0,"['delinquency_score', 'recent_delinquency', 'payment_ratio']"
2,0,0.31928132367347384,4943.166666666667,0.11493333333333333,0.11493333333333333,300000.0,0,0,0.2752531,Medium Risk,Maintain,0.0,300000.0,375000.0,240000.0,300000.0,300000.0,"['recent_delinquency', 'current_utilisation', 'delinquency_score']"
1,1,1.0,3358.8333333333335,0.0,0.24975,80000.0,1,0,0.3892447,High Risk,Decrease,-0.2,64000.0,100000.0,64000.0,64000.0,64000.0,"['delinquency_score', 'avg_payment', 'recent_delinquency']"
0,0,1.8324591234845427,15895.666666666666,0.06806,0.06806,450000.0,0,0,0.11382238,Medium Risk,Maintain,0.0,450000.0,562500.0,360000.0,450000.0,450000.0,"['avg_payment', 'delinquency_score', 'recent_delinquency']"
5,1,0.2732554554485972,13294.333333333334,0.6188,0.6388727272727273,110000.0,0,0,0.48220688,High Risk,Decrease,-0.2,88000.0,137500.0,88000.0,88000.0,88000.0,"['delinquency_score', 'avg_payment', 'payment_ratio']"
0,0,0.9154954321855235,868.5,0.00788125,0.01413125,160000.0,1,0,0.46182674,High Risk,Decrease,-0.2,128000.0,200000.0,128000.0,128000.0,128000.0,"['delinquency_score', 'current_utilisation', 'recent_delinquency']"
1,1,0.9065759637188209,666.3333333333334,0.0,0.00828095238095238,210000.0,1,0,0.42837268,High Risk,Decrease,-0.2,168000.0,262500.0,168000.0,168000.0,168000.0,"['delinquency_score', 'LIMIT_BAL', 'max_utilisation']"
1,1,1.0,0.0,0.0,0.0,210000.0,0,1,0.59714085,High Risk,Decrease,-0.2,168000.0,262500.0,168000.0,168000.0,168000.0,"['avg_payment', 'delinquency_score', 'LIMIT_BAL']"
0,0,0.8428030303030303,519.1666666666666,0.005886111111111111,0.005886111111111111,360000.0,0,0,0.43984142,High Risk,Decrease,-0.2,288000.0,450000.0,288000.0,288000.0,288000.0,"['delinquency_score', 'avg_payment', 'current_utilisation']"
7,1,0.03286887305562986,2703.3333333333335,0.66855,0.7063833333333334,120000.0,1,1,0.94948554,High Risk,Decrease,-0.2,96000.0,150000.0,96000.0,96000.0,96000.0,"['delinquency_score', 'recent_delinquency', 'max_utilisation']"
0,0,0.0,0.0,0.0506875,0.0506875,80000.0,0,0,0.3714631,High Risk,Decrease,-0.2,64000.0,100000.0,64000.0,64000.0,64000.0,"['delinquency_score', 'avg_payment', 'recent_delinquency']"
0,0,0.377368859354326,14878.333333333334,0.0331078125,0.098778125,640000.0,0,0,0.065446794,Low Risk,Increase,0.2,768000.0,800000.0,512000.0,768000.0,768000.0,"['avg_payment', 'delinquency_score', 'LIMIT_BAL']"
0,0,0.9765565195202858,10205.666666666666,0.021666666666666667,0.27984444444444445,180000.0,0,0,0.19551472,Medium Risk,Maintain,0.0,180000.0,225000.0,144000.0,180000.0,180000.0,"['delinquency_score', 'avg_payment', 'recent_delinquency']"
0,0,0.041458470109892905,10303.666666666666,1.104365909090909,1.104365909090909,440000.0,0,0,0.33367807,High Risk,Decrease,-0.2,352000.0,550000.0,352000.0,352000.0,352000.0,"['delinquency_score', 'max_utilisation', 'recent_delinquency']"
2,0,0.07205764611689351,1050.0,0.71155,0.8037,20000.0,0,1,0.6466272,High Risk,Decrease,-0.2,16000.0,25000.0,16000.0,16000.0,16000.0,"['recent_delinquency', 'LIMIT_BAL', 'delinquency_score']"
0,0,0.052748793022893634,1693.5,0.98166,0.98166,50000.0,0,0,0.36408693,High Risk,Decrease,-0.2,40000.0,62500.0,40000.0,40000.0,40000.0,"['delinquency_score', 'recent_delinquency', 'LIMIT_BAL']"
0,0,0.38020500653952616,4166.666666666667,0.09816,0.38932,50000.0,0,0,0.24429055,Medium Risk,Maintain,0.0,50000.0,62500.0,40000.0,50000.0,50000.0,"['delinquency_score', 'recent_delinquency', 'LIMIT_BAL']"
12,2,0.04078384049466472,5542.666666666667,0.7756705882352941,0.8530117647058824,170000.0,1,1,0.99902046,High Risk,Decrease,-0.2,136000.0,212500.0,136000.0,136000.0,136000.0,"['delinquency_score', 'recent_delinquency', 'LIMIT_BAL']"
0,0,0.3662447257383966,2604.0,0.03258235294117647,0.08398235294117647,170000.0,1,0,0.19205289,Medium Risk,Maintain,0.0,170000.0,212500.0,136000.0,170000.0,170000.0,"['delinquency_score', 'recent_delinquency', 'max_utilisation']"
2,0,3.8682758620689657,5609.0,0.0089125,0.01353125,160000.0,0,1,0.5427067,High Risk,Decrease,-0.2,128000.0,200000.0,128000.0,128000.0,128000.0,"['recent_delinquency', 'current_utilisation', 'payment_ratio']"
0,0,0.24496068620443173,1142.3333333333333,0.029472727272727272,0.055545454545454544,110000.0,0,0,0.32025728,High Risk,Decrease,-0.2,88000.0,137500.0,88000.0,88000.0,88000.0,"['delinquency_score', 'recent_delinquency', 'avg_payment']"
0,0,0.9091185102722398,1497.1666666666667,0.0023025641025641026,0.016084615384615385,390000.0,0,0,0.28971156,Medium Risk,Maintain,0.0,390000.0,487500.0,312000.0,390000.0,390000.0,"['delinquency_score', 'LIMIT_BAL', 'current_utilisation']"
0,0,0.4527030222768765,3190.5,0.07511290322580645,0.07511290322580645,310000.0,0,0,0.12957264,Medium Risk,Maintain,0.0,310000.0,387500.0,248000.0,310000.0,310000.0,"['delinquency_score', 'recent_delinquency', 'LIMIT_BAL']"
1,1,1.0,0.0,0.0,0.0,80000.0,0,1,0.59729594,High Risk,Decrease,-0.2,64000.0,100000.0,64000.0,64000.0,64000.0,"['avg_payment', 'delinquency_score', 'recent_delinquency']"
0,0,0.03046489266943129,1721.5,0.511144,0.511144,250000.0,0,0,0.14480521,Medium Risk,Maintain,0.0,250000.0,312500.0,200000.0,250000.0,250000.0,"['delinquency_score', 'recent_delinquency', 'LIMIT_BAL']"
2,0,0.6666666666666666,390.0,0.003,0.009,130000.0,1,1,0.633049,High Risk,Decrease,-0.2,104000.0,162500.0,104000.0,104000.0,104000.0,"['avg_payment', 'current_utilisation', 'delinquency_score']"
2,0,0.8171617161716173,1031.6666666666667,0.0093375,0.0137375,160000.0,1,1,0.5896157,High Risk,Decrease,-0.2,128000.0,200000.0,128000.0,128000.0,128000.0,"['recent_delinquency', 'delinquency_score', 'current_utilisation']"
0,0,0.2926158980466586,15314.833333333334,0.30427333333333334,0.3110966666666667,300000.0,0,0,0.12059312,Medium Risk,Maintain,0.0,300000.0,375000.0,240000.0,300000.0,300000.0,"['delinquency_score', 'avg_payment', 'recent_delinquency']"
0,0,0.14064120385693166,7436.333333333333,0.2578764705882353,0.47657647058823527,170000.0,0,0,0.11294359,Medium Risk,Maintain,0.0,170000.0,212500.0,136000.0,170000.0,170000.0,"['delinquency_score', 'recent_delinquency', 'current_utilisation']"
0,0,0.32205703408562003,25717.166666666668,0.4063058823529412,0.9049235294117647,170000.0,0,0,0.120826714,Medium Risk,Maintain,0.0,170000.0,212500.0,136000.0,170000.0,170000.0,"['avg_payment', 'delinquency_score', 'recent_delinquency']"
0,0,0.07766962372934968,900.3333333333334,0.47085,0.6653,20000.0,0,0,0.37034982,High Risk,Decrease,-0.2,16000.0,25000.0,16000.0,16000.0,16000.0,"['delinquency_score', 'LIMIT_BAL', 'recent_delinquency']"
5,1,0.3348011226168586,1153.1666666666667,0.0231975,0.0231975,400000.0,0,0,0.4607756,High Risk,Decrease,-0.2,320000.0,500000.0,320000.0,320000.0,320000.0,"['LIMIT_BAL', 'delinquency_score', 'current_utilisation']"
2,0,0.6362133568437294,962.1666666666666,0.01638,0.06006,50000.0,0,1,0.6098588,High Risk,Decrease,-0.2,40000.0,62500.0,40000.0,40000.0,40000.0,"['delinquency_score', 'recent_delinquency', 'current_utilisation']"
4,0,0.061684788447901664,3827.5,0.744,0.808925,80000.0,1,0,0.49473676,High Risk,Decrease,-0.2,64000.0,100000.0,64000.0,64000.0,64000.0,"['delinquency_score', 'recent_delinquency', 'current_utilisation']"
0,0,0.04868458687352167,6836.833333333333,0.9446466666666666,0.9655533333333334,150000.0,0,0,0.21081875,Medium Risk,Maintain,0.0,150000.0,187500.0,120000.0,150000.0,150000.0,"['delinquency_score', 'recent_delinquency', 'avg_payment']"
0,0,0.04603283291807882,4000.0,0.5000793103448276,0.5000793103448276,290000.0,0,0,0.11649752,Medium Risk,Maintain,0.0,290000.0,362500.0,232000.0,290000.0,290000.0,"['delinquency_score', 'recent_delinquency', 'current_utilisation']"
4,0,0.03618308011448151,2404.1666666666665,0.38945,0.4271,160000.0,0,0,0.35448143,High Risk,Decrease,-0.2,128000.0,200000.0,128000.0,128000.0,128000.0,"['delinquency_score', 'recent_delinquency', 'current_utilisation']"
1,1,1.0,161.16666666666666,0.0,0.0027125,240000.0,0,1,0.5120047,High Risk,Decrease,-0.2,192000.0,300000.0,192000.0,192000.0,192000.0,"['avg_payment', 'delinquency_score', 'LIMIT_BAL']"
0,0,0.14057191325521667,9833.333333333334,0.14157179487179486,0.20036666666666667,390000.0,0,0,0.066618614,Low Risk,Increase,0.2,468000.0,487500.0,312000.0,468000.0,468000.0,"['delinquency_score', 'LIMIT_BAL', 'current_utilisation']"
2,0,0.03864235148022333,2686.5,0.5993818181818181,0.6725545454545454,110000.0,0,0,0.4514032,High Risk,Decrease,-0.2,88000.0,137500.0,88000.0,88000.0,88000.0,"['recent_delinquency', 'delinquency_score', 'current_utilisation']"
8,2,0.10074736225087925,916.6666666666666,0.6883,1.0066,10000.0,1,1,0.9923713,High Risk,Decrease,-0.2,8000.0,12500.0,8000.0,8000.0,10000.0,"['delinquency_score', 'recent_delinquency', 'LIMIT_BAL']"
0,0,0.04251773946541187,5099.166666666667,0.9999846153846154,1.0221538461538462,130000.0,0,0,0.29714477,Medium Risk,Maintain,0.0,130000.0,162500.0,104000.0,130000.0,130000.0,"['delinquency_score', 'recent_delinquency', 'max_utilisation']"
2,0,0.19783663566518397,1957.0,0.009854347826086957,0.027704347826086956,460000.0,0,0,0.36521262,High Risk,Decrease,-0.2,368000.0,575000.0,368000.0,368000.0,368000.0,"['LIMIT_BAL', 'recent_delinquency', 'delinquency_score']"
0,0,1.0327356927390916,16205.0,0.012947826086956521,0.29174347826086955,230000.0,0,0,0.24053952,Medium Risk,Maintain,0.0,230000.0,287500.0,184000.0,230000.0,230000.0,"['delinquency_score', 'avg_payment', 'current_utilisation']"
10,2,0.05532995900771733,1916.6666666666667,0.44935714285714284,0.5134428571428571,70000.0,1,1,0.9951284,High Risk,Decrease,-0.2,56000.0,87500.0,56000.0,56000.0,56000.0,"['delinquency_score', 'recent_delinquency', 'current_utilisation']"
0,0,0.03830952276930694,4384.333333333333,0.91776,0.96636,150000.0,0,0,0.30373624,High Risk,Decrease,-0.2,120000.0,187500.0,120000.0,120000.0,120000.0,"['delinquency_score', 'recent_delinquency', 'max_utilisation']"
0,0,0.16773205134978075,4233.333333333333,1.01222,1.01222,50000.0,0,0,0.4654627,High Risk,Decrease,-0.2,40000.0,62500.0,40000.0,40000.0,40000.0,"['delinquency_score', 'recent_delinquency', 'current_utilisation']"
10,2,0.04280093331229783,6013.666666666667,0.8796866666666666,0.9736666666666667,150000.0,1,1,0.99635714,High Risk,Decrease,-0.2,120000.0,187500.0,120000.0,120000.0,120000.0,"['delinquency_score', 'recent_delinquency', 'max_utilisation']"
0,0,0.0459952577395225,4597.333333333333,0.5495294117647059,0.6569352941176471,170000.0,1,0,0.17719577,Medium Risk,Maintain,0.0,170000.0,212500.0,136000.0,170000.0,170000.0,"['delinquency_score', 'recent_delinquency', 'payment_ratio']"
11,1,0.04132914531327492,1083.3333333333333,0.4908,0.55474,50000.0,1,1,0.9973247,High Risk,Decrease,-0.2,40000.0,62500.0,40000.0,40000.0,40000.0,"['delinquency_score', 'recent_delinquency', 'LIMIT_BAL']"
0,0,1.101631084480495,50069.5,0.201724,0.201724,500000.0,0,0,0.09353521,Low Risk,Increase,0.2,600000.0,625000.0,400000.0,600000.0,600000.0,"['delinquency_score', 'avg_payment', 'LIMIT_BAL']"
0,0,0.041336297402749356,9833.333333333334,1.0036583333333333,1.0107458333333332,240000.0,0,0,0.2594896,Medium Risk,Maintain,0.0,240000.0,300000.0,192000.0,240000.0,240000.0,"['delinquency_score', 'recent_delinquency', 'max_utilisation']"
0,0,1.0,85.0,0.0,0.0,200000.0,0,0,0.4649371,High Risk,Decrease,-0.2,160000.0,250000.0,160000.0,160000.0,160000.0,"['delinquency_score', 'avg_payment', 'recent_delinquency']"
0,0,0.03801896639226789,1985.1666666666667,0.9957,1.004775,80000.0,0,0,0.35653472,High Risk,Decrease,-0.2,64000.0,100000.0,64000.0,64000.0,64000.0,"['delinquency_score', 'recent_delinquency', 'max_utilisation']"
0,0,0.9744842066824904,7116.333333333333,0.003986666666666667,0.22566666666666665,150000.0,1,0,0.2839824,Medium Risk,Maintain,0.0,150000.0,187500.0,120000.0,150000.0,150000.0,"['delinquency_score', 'current_utilisation', 'avg_payment']"
4,2,0.27538547213810866,13186.833333333334,0.95365,0.985425,80000.0,0,1,0.7311019,High Risk,Decrease,-0.2,64000.0,100000.0,64000.0,64000.0,64000.0,"['recent_delinquency', 'delinquency_score', 'avg_payment']"
0,0,0.30087938839426137,3666.6666666666665,0.04399230769230769,0.15297692307692307,130000.0,0,0,0.25917232,Medium Risk,Maintain,0.0,130000.0,162500.0,104000.0,130000.0,130000.0,"['delinquency_score', 'recent_delinquency', 'current_utilisation']"
6,0,0.09830732657693889,916.6666666666666,0.3433,0.5316,20000.0,0,1,0.674914,High Risk,Decrease,-0.2,16000.0,25000.0,16000.0,16000.0,16000.0,"['delinquency_score', 'recent_delinquency', 'LIMIT_BAL']"
0,0,0.041561623309508314,6333.333333333333,1.0227466666666667,1.0248,150000.0,0,0,0.2776259,Medium Risk,Maintain,0.0,150000.0,187500.0,120000.0,150000.0,150000.0,"['delinquency_score', 'recent_delinquency', 'max_utilisation']"
0,0,1.0353498861446837,15762.166666666666,0.005564,0.251328,250000.0,0,0,0.24203177,Medium Risk,Maintain,0.0,250000.0,312500.0,200000.0,250000.0,250000.0,"['avg_payment', 'delinquency_score', 'current_utilisation']"
0,0,0.7923841190674109,3336.3333333333335,0.005282608695652174,0.05026086956521739,230000.0,0,0,0.27401122,Medium Risk,Maintain,0.0,230000.0,287500.0,184000.0,230000.0,230000.0,"['delinquency_score', 'current_utilisation', 'recent_delinquency']"
1,1,1.0146999325691166,2508.0,0.0,0.032916666666666664,360000.0,0,0,0.36871997,High Risk,Decrease,-0.2,288000.0,450000.0,288000.0,288000.0,288000.0,"['delinquency_score', 'LIMIT_BAL', 'avg_payment']"
0,0,0.9914955640050697,13038.166666666666,0.017578260869565217,0.1891695652173913,230000.0,0,0,0.15237235,Medium Risk,Maintain,0.0,230000.0,287500.0,184000.0,230000.0,230000.0,"['avg_payment', 'delinquency_score', 'current_utilisation']"
